                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91166,                 1.7328,                 1.2213,                0.64908,                0.58221,                 0.6201,                0.44815,                0.96059,                 1.3074,                 1.2149,             0.00013884,             0.00013884,             0.00013884
                      2,                0.99572,                 1.4509,                 1.2879,                0.63546,                0.53927,                 0.5743,                0.39284,                 1.0897,                 1.3767,                 1.3175,              0.0002595,              0.0002595,              0.0002595
                      3,                  1.044,                 1.5036,                 1.3221,                0.59207,                0.51981,                0.54215,                0.36034,                 1.1231,                 1.4345,                 1.3588,             0.00036182,             0.00036182,             0.00036182
                      4,                 1.0422,                  1.473,                 1.3203,                0.63914,                0.52684,                0.56873,                0.39033,                 1.0706,                 1.3624,                 1.3221,             0.00033443,             0.00033443,             0.00033443
                      5,                 1.0099,                 1.4012,                  1.304,                0.61811,                0.54535,                0.58152,                0.39632,                 1.0771,                 1.3299,                 1.3162,             0.00033443,             0.00033443,             0.00033443
                      6,                 1.0419,                 1.3705,                 1.3374,                 0.6368,                0.54527,                0.58369,                0.41293,                 1.0663,                 1.3504,                 1.3195,             0.00030691,             0.00030691,             0.00030691
                      7,                 1.0033,                 1.2924,                 1.3146,                0.66632,                0.54671,                0.61061,                0.43708,                 1.0247,                 1.2557,                 1.2833,             0.00027939,             0.00027939,             0.00027939
                      8,                0.96015,                 1.1908,                 1.2714,                0.68231,                0.58001,                0.62959,                0.45447,                 1.0011,                 1.2075,                 1.2646,             0.00025187,             0.00025187,             0.00025187
                      9,                0.92683,                  1.128,                 1.2462,                0.68563,                 0.5816,                0.64376,                0.47253,                0.97801,                 1.1693,                 1.2454,             0.00022435,             0.00022435,             0.00022435
                     10,                0.89485,                 1.0545,                 1.2234,                0.71281,                0.59249,                0.65553,                0.48495,                0.94766,                 1.1241,                 1.2132,             0.00019682,             0.00019682,             0.00019682
                     11,                0.86388,                0.99045,                 1.1976,                 0.7135,                0.61526,                0.67203,                0.49932,                0.93531,                 1.0832,                 1.2009,              0.0001693,              0.0001693,              0.0001693
                     12,                 0.8349,                0.93013,                 1.1778,                0.72271,                 0.6106,                0.68462,                0.51195,                0.92198,                 1.0676,                 1.1977,             0.00014178,             0.00014178,             0.00014178
                     13,                0.80095,                0.87543,                 1.1515,                0.72529,                0.62549,                0.68691,                0.51942,                0.89824,                 1.0416,                 1.1746,             0.00011426,             0.00011426,             0.00011426
                     14,                0.78025,                0.82475,                 1.1324,                0.70453,                 0.6327,                0.69035,                0.52518,                0.88818,                 1.0217,                 1.1679,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     15,                0.74627,                0.76993,                 1.1073,                0.73385,                0.63354,                0.70074,                0.53504,                0.87655,                 1.0063,                 1.1556,             5.9214e-05,             5.9214e-05,             5.9214e-05
